         Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec
Prec.   97.4  69.3  85.5  71.1  48.9  25.1   8.1  37.2  81.6 144.8 110.6 126.5
Max.t.  15.4  16.1  17.2  19.7  23.9  27.9  31.3  31.4  26.5  22.9  18.2  15.8
Min.t.  -0.1  -0.4   1.9   4.9   8.3  11.9  14.8  15.5  13.4   9.7   4.6   2.2
Ab.m.t. -5.1  -7.0  -3.5  -1.7   3.4   8.2  11.6  12.2   9.0   3.0  -1.7  -3.6
